utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,13.438380799983861,13.438380799983861,space,6.366431900009047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
0,0,0,0,,,,,,,,,,,,,,,,,19.861075699998764,19.861075699998764,19.861075699998764,19.861075699998764,19.861075699998764,q,1.0744817999948282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
1,0,1,0,,,,,,,,,,,,,,,,,21.688116300007096,21.688116300007096,21.688116300007096,21.688116300007096,21.688116300007096,q,0.30693520000204444,22.023222199990414,22.023222199990414,22.42461899999762,22.42461899999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
2,0,2,0,,,,,,,,,,,,,,,,,22.42461899999762,22.42461899999762,22.42461899999762,22.42461899999762,22.42461899999762,q,0.2514216999989003,22.705752499983646,22.705752499983646,23.107805200008443,23.107805200008443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
3,0,3,0,,,,,,,,,,,,,,,,,23.107805200008443,23.107805200008443,23.107805200008443,23.107805200008443,23.107805200008443,q,0.1823636000044644,23.30528709999635,23.30528709999635,23.707186599989654,23.707186599989654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
4,0,4,0,,,,,,,,,,,,,,,,,23.707186599989654,23.707186599989654,23.707186599989654,23.707186599989654,23.707186599989654,q,0.07022580000921153,23.805071299982956,23.805071299982956,24.207403100008378,24.207403100008378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
5,0,5,0,,,,,,,,,,,,,,,,,24.207403100008378,24.207403100008378,24.207403100008378,24.207403100008378,24.207403100008378,q,0.03049139998620376,24.254716199997347,24.254716199997347,24.6568888000038,24.6568888000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
6,0,6,0,,,,,,,,,,,,,,,,,24.6568888000038,24.6568888000038,24.6568888000038,24.6568888000038,24.6568888000038,q,0.04761020001024008,24.72129610000411,24.72129610000411,25.123717999988003,25.123717999988003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
7,0,7,0,,,,,,,,,,,,,,,,,25.123717999988003,25.123717999988003,25.123717999988003,25.123717999988003,25.123717999988003,q,0.01966099999845028,25.17089290000149,25.17089290000149,25.57307869999204,25.57307869999204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
8,0,8,0,,,,,,,,,,,,,,,,,25.57307869999204,25.57307869999204,25.57307869999204,25.57307869999204,25.57307869999204,q,0.046588399971369654,25.638712299987674,25.638712299987674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
9,0,9,0,,,,,,,,,,,,,,,,,26.05613009998342,26.05613009998342,26.05613009998342,26.05613009998342,26.05613009998342,q,0.04534740000963211,26.120754400006263,26.120754400006263,26.5224576999899,26.5224576999899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
10,0,10,0,,,,,,,,,,,,,,,,,26.5224576999899,26.5224576999899,26.5224576999899,26.5224576999899,26.5224576999899,q,0.019005099980859086,26.57031039998401,26.57031039998401,26.97209819999989,26.97209819999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
11,0,11,0,,,,,,,,,,,,,,,,,26.97209819999989,26.97209819999989,26.97209819999989,26.97209819999989,26.97209819999989,q,0.013672800007043406,27.003266399988206,27.003266399988206,27.4053234999883,27.4053234999883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
12,0,12,0,,,,,,,,,,,,,,,,,27.4053234999883,27.4053234999883,27.4053234999883,27.4053234999883,27.4053234999883,q,0.0746664000034798,27.50333760000649,27.50333760000649,27.905043999984628,27.905043999984628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
13,0,13,0,,,,,,,,,,,,,,,,,27.905043999984628,27.905043999984628,27.905043999984628,27.905043999984628,27.905043999984628,q,0.13095099999918602,28.052906700002495,28.052906700002495,28.455083699984243,28.455083699984243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
14,0,14,0,,,,,,,,,,,,,,,,,28.455083699984243,28.455083699984243,28.455083699984243,28.455083699984243,28.455083699984243,q,0.08017289999406785,28.554226200008998,28.554226200008998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
15,0,15,0,,,,,,,,,,,,,,,,,28.9713413999998,28.9713413999998,28.9713413999998,28.9713413999998,28.9713413999998,q,0.06989610000164248,29.06901320000179,29.06901320000179,29.470887300005415,29.470887300005415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
16,0,16,0,,,,,,,,,,,,,,,,,29.470887300005415,29.470887300005415,29.470887300005415,29.470887300005415,29.470887300005415,q,0.043782199994893745,29.535523300000932,29.535523300000932,29.93749499999103,29.93749499999103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
17,0,17,0,,,,,,,,,,,,,,,,,29.93749499999103,29.93749499999103,29.93749499999103,29.93749499999103,29.93749499999103,q,0.05777660000603646,30.01862610000535,30.01862610000535,30.420300800004043,30.420300800004043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
18,0,18,0,,,,,,,,,,,,,,,,,30.420300800004043,30.420300800004043,30.420300800004043,30.420300800004043,30.420300800004043,q,0.05746859998907894,30.501716800004942,30.501716800004942,30.90343489998486,30.90343489998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
19,0,19,0,,,,,,,,,,,,,,,,,30.90343489998486,30.90343489998486,30.90343489998486,30.90343489998486,30.90343489998486,q,0.1013391999877058,31.04069910000544,31.04069910000544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
20,0,20,0,,,,,,,,,,,,,,,,,31.45369299998856,31.45369299998856,31.45369299998856,31.45369299998856,31.45369299998856,q,0.0336574999964796,31.51782819998334,31.51782819998334,31.919944699999178,31.919944699999178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
