utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,17.780441199894994,17.780441199894994,space,3.7934369002468884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
0,0,0,0,,,,,,,,,,,,,,,,,21.60384100000374,21.60384100000374,21.60384100000374,21.60384100000374,21.60384100000374,q,0.6845726000610739,22.30634759995155,22.30634759995155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
1,0,1,0,,,,,,,,,,,,,,,,,22.70769999991171,22.70769999991171,22.70769999991171,22.70769999991171,22.70769999991171,w,0.33397230016998947,23.052523199934512,23.052523199934512,23.457409600028768,23.457409600028768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
2,0,2,0,,,,,,,,,,,,,,,,,23.457409600028768,23.457409600028768,23.457409600028768,23.457409600028768,23.457409600028768,o,0.35484890011139214,23.823445999994874,23.823445999994874,24.228761799866334,24.228761799866334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
3,0,3,0,,,,,,,,,,,,,,,,,24.228761799866334,24.228761799866334,24.228761799866334,24.228761799866334,24.228761799866334,q,0.31137670017778873,24.5475697000511,24.5475697000511,24.950271300040185,24.950271300040185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
4,0,4,0,,,,,,,,,,,,,,,,,24.950271300040185,24.950271300040185,24.950271300040185,24.950271300040185,24.950271300040185,p,0.3605645000934601,25.318568699993193,25.318568699993193,25.720943999942392,25.720943999942392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
5,0,5,0,,,,,,,,,,,,,,,,,25.720943999942392,25.720943999942392,25.720943999942392,25.720943999942392,25.720943999942392,q,0.31067309994250536,26.038928400026634,26.038928400026634,26.44336699997075,26.44336699997075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
6,0,6,0,,,,,,,,,,,,,,,,,26.44336699997075,26.44336699997075,26.44336699997075,26.44336699997075,26.44336699997075,w,0.3217019001021981,26.775102899875492,26.775102899875492,27.17940720007755,27.17940720007755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
7,0,7,0,,,,,,,,,,,,,,,,,27.17940720007755,27.17940720007755,27.17940720007755,27.17940720007755,27.17940720007755,q,0.31613630009815097,27.507010499946773,27.507010499946773,27.908510099863634,27.908510099863634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
8,0,8,0,,,,,,,,,,,,,,,,,27.908510099863634,27.908510099863634,27.908510099863634,27.908510099863634,27.908510099863634,p,0.2865698002278805,28.205529999919236,28.205529999919236,28.609751000069082,28.609751000069082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
9,0,9,0,,,,,,,,,,,,,,,,,28.609751000069082,28.609751000069082,28.609751000069082,28.609751000069082,28.609751000069082,p,0.29182939999736845,28.90877850004472,28.90877850004472,29.311342699918896,29.311342699918896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
10,0,10,0,,,,,,,,,,,,,,,,,29.311342699918896,29.311342699918896,29.311342699918896,29.311342699918896,29.311342699918896,p,0.3539853000547737,29.670636099996045,29.670636099996045,30.07525429991074,30.07525429991074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
11,0,11,0,,,,,,,,,,,,,,,,,30.07525429991074,30.07525429991074,30.07525429991074,30.07525429991074,30.07525429991074,q,0.21714190021157265,30.302671399898827,30.302671399898827,30.707179799908772,30.707179799908772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
12,0,12,0,,,,,,,,,,,,,,,,,30.707179799908772,30.707179799908772,30.707179799908772,30.707179799908772,30.707179799908772,q,0.21428210008889437,30.928872799966484,30.928872799966484,31.3324342998676,31.3324342998676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
13,0,13,0,,,,,,,,,,,,,,,,,31.3324342998676,31.3324342998676,31.3324342998676,31.3324342998676,31.3324342998676,p,0.26740230014547706,31.609575599897653,31.609575599897653,32.01272480003536,32.01272480003536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
14,0,14,0,,,,,,,,,,,,,,,,,32.01272480003536,32.01272480003536,32.01272480003536,32.01272480003536,32.01272480003536,o,0.2587416002061218,32.28220060002059,32.28220060002059,32.68617059988901,32.68617059988901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
15,0,15,0,,,,,,,,,,,,,,,,,32.68617059988901,32.68617059988901,32.68617059988901,32.68617059988901,32.68617059988901,q,0.23756120004691184,32.93504719994962,32.93504719994962,33.33940549986437,33.33940549986437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
16,0,16,0,,,,,,,,,,,,,,,,,33.33940549986437,33.33940549986437,33.33940549986437,33.33940549986437,33.33940549986437,q,0.17888360004872084,33.52542389999144,33.52542389999144,33.9291685000062,33.9291685000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
17,0,17,0,,,,,,,,,,,,,,,,,33.9291685000062,33.9291685000062,33.9291685000062,33.9291685000062,33.9291685000062,p,0.16530410014092922,34.1027365999762,34.1027365999762,34.50609749997966,34.50609749997966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
18,0,18,0,,,,,,,,,,,,,,,,,34.50609749997966,34.50609749997966,34.50609749997966,34.50609749997966,34.50609749997966,p,0.22725390014238656,34.741008299868554,34.741008299868554,35.144881800049916,35.144881800049916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
19,0,19,0,,,,,,,,,,,,,,,,,35.144881800049916,35.144881800049916,35.144881800049916,35.144881800049916,35.144881800049916,q,0.17871060012839735,35.331128699937835,35.331128699937835,35.734977799933404,35.734977799933404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
20,0,20,0,,,,,,,,,,,,,,,,,35.734977799933404,35.734977799933404,35.734977799933404,35.734977799933404,35.734977799933404,q,0.18761790008284152,35.934178499970585,35.934178499970585,36.339305399917066,36.339305399917066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
21,0,21,0,,,,,,,,,,,,,,,,,36.339305399917066,36.339305399917066,36.339305399917066,36.339305399917066,36.339305399917066,p,0.13459910009987652,36.48272369988263,36.48272369988263,36.88751839986071,36.88751839986071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
22,0,22,0,,,,,,,,,,,,,,,,,36.88751839986071,36.88751839986071,36.88751839986071,36.88751839986071,36.88751839986071,o,0.20492120017297566,37.104099499993026,37.104099499993026,37.50626779999584,37.50626779999584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
23,0,23,0,,,,,,,,,,,,,,,,,37.50626779999584,37.50626779999584,37.50626779999584,37.50626779999584,37.50626779999584,p,0.18257670011371374,37.70036439993419,37.70036439993419,38.103532899869606,38.103532899869606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
24,0,24,0,,,,,,,,,,,,,,,,,38.103532899869606,38.103532899869606,38.103532899869606,38.103532899869606,38.103532899869606,o,0.1659964001737535,38.27535060001537,38.27535060001537,38.67921059997752,38.67921059997752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
25,0,25,0,,,,,,,,,,,,,,,,,38.67921059997752,38.67921059997752,38.67921059997752,38.67921059997752,38.67921059997752,p,0.20725830015726388,38.894175299908966,38.894175299908966,39.297263599932194,39.297263599932194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
26,0,26,0,,,,,,,,,,,,,,,,,39.297263599932194,39.297263599932194,39.297263599932194,39.297263599932194,39.297263599932194,q,0.1959643999580294,39.504552399972454,39.504552399972454,39.90843279985711,39.90843279985711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
27,0,27,0,,,,,,,,,,,,,,,,,39.90843279985711,39.90843279985711,39.90843279985711,39.90843279985711,39.90843279985711,o,0.12640680000185966,40.04561899998225,40.04561899998225,40.45008039986715,40.45008039986715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
28,0,28,0,,,,,,,,,,,,,,,,,40.45008039986715,40.45008039986715,40.45008039986715,40.45008039986715,40.45008039986715,p,0.10624190024100244,40.567896799882874,40.567896799882874,40.97103799995966,40.97103799995966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
29,0,29,0,,,,,,,,,,,,,,,,,40.97103799995966,40.97103799995966,40.97103799995966,40.97103799995966,40.97103799995966,q,0.12509789993055165,41.10203599999659,41.10203599999659,41.505913299974054,41.505913299974054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,sdfsd,2023-04-12_21h58.02.977,bandit task,2022.2.5,143.24882606609773,
