utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,20.057768900180236,20.057768900180236,space,1.4572860999032855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
0,0,0,0,,,,,,,,,,,,,,,,,21.55157280014828,21.55157280014828,21.55157280014828,21.55157280014828,21.55157280014828,q,1.0611916000489146,22.63868760014884,22.63868760014884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
1,0,1,0,,,,,,,,,,,,,,,,,23.03170430008322,23.03170430008322,23.03170430008322,23.03170430008322,23.03170430008322,w,0.35371650010347366,23.398719600168988,23.398719600168988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
2,0,2,0,,,,,,,,,,,,,,,,,23.80221990006976,23.80221990006976,23.80221990006976,23.80221990006976,23.80221990006976,o,0.21107279998250306,24.03150900010951,24.03150900010951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
3,0,3,0,,,,,,,,,,,,,,,,,24.434843300143257,24.434843300143257,24.434843300143257,24.434843300143257,24.434843300143257,p,0.09339709999039769,24.547664300072938,24.547664300072938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
4,0,4,0,,,,,,,,,,,,,,,,,24.94790320005268,24.94790320005268,24.94790320005268,24.94790320005268,24.94790320005268,o,0.12478159996680915,25.083074600202963,25.083074600202963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
5,0,5,0,,,,,,,,,,,,,,,,,25.48983610002324,25.48983610002324,25.48983610002324,25.48983610002324,25.48983610002324,p,0.09245200012810528,25.594420600216836,25.594420600216836,25.996441000141203,25.996441000141203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
6,0,6,0,,,,,,,,,,,,,,,,,25.996441000141203,25.996441000141203,25.996441000141203,25.996441000141203,25.996441000141203,w,0.012379199964925647,26.021310300100595,26.021310300100595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
7,0,7,0,,,,,,,,,,,,,,,,,26.42762350011617,26.42762350011617,26.42762350011617,26.42762350011617,26.42762350011617,o,0.01869919989258051,26.456192000070587,26.456192000070587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
8,0,8,0,,,,,,,,,,,,,,,,,26.864548100158572,26.864548100158572,26.864548100158572,26.864548100158572,26.864548100158572,p,0.35224110004492104,27.22869690018706,27.22869690018706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
9,0,9,0,,,,,,,,,,,,,,,,,27.635828900150955,27.635828900150955,27.635828900150955,27.635828900150955,27.635828900150955,w,0.31414159992709756,27.95985470013693,27.95985470013693,28.36451780004427,28.36451780004427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
10,0,10,0,,,,,,,,,,,,,,,,,28.36451780004427,28.36451780004427,28.36451780004427,28.36451780004427,28.36451780004427,o,0.22234670002944767,28.600254700053483,28.600254700053483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
