Roll Number, PayOff Condition, Avg Penalty, Repeat Choices
1, IOWA,41.56856351,1.15
1, Equal Means,26.4159664,0.383333333
1, Low Var,23.48703914,0.516666667
1, High Var,38.00589008,0.783333333
2, IOWA,45.19541735,0.483333333
2, Equal Means,23.11599433,0.083333333
2, Low Var,21.52069123,0.15
2, High Var,31.56458124,0.166666667
3, IOWA,40.24425777,0.9
3, Equal Means,37.36333295,0.4
3, Low Var,31.68760754,0.633333333
3, High Var,13.07318025,0.183333333
4, IOWA,46.48877619,0.7
4, Equal Means,36.35968299,0.433333333
4, Low Var,47.76737849,0.783333333
4, High Var,48.8808888,0.716666667
200550, IOWA,64.60598917,0.95
200550, Equal Means,35.38750185,0.583333333
200550, Low Var,34.54888249,0.566666667
200550, High Var,49.15729285,0.9
006, IOWA, 56.66070988774779, 0.7333333333333333
006, Equal Means, 58.989644729157654, 0.8333333333333334
006, Low Var, 53.12999607272175, 0.8333333333333334
006, High Var, 30.6835305393006, 0.6666666666666666
007, IOWA, 76.8440110456468, 0.7166666666666667
007, Equal Means, 41.668310348614085, 0.3
007, Low Var, 38.502649954999285, 0.4166666666666667
007, High Var, 57.36948459413832, 0.4666666666666667
008, IOWA, 40.304919422023495, 0.8833333333333333
008, Equal Means, 44.983067764264355, 0.6833333333333333
008, Low Var, 25.265002899452035, 0.55
008, High Var, 42.39233760222762, 0.7333333333333333
009, IOWA, 77.80128655695664, 0.4666666666666667
009, Equal Means, 61.79704119434648, 0.38333333333333336
009, Low Var, 37.33469773591237, 0.43333333333333335
009, High Var, 38.72276174335845, 0.4666666666666667
010, IOWA, 45.50419814880832, 0.55
010, Equal Means, 52.75806082479662, 0.26666666666666666
010, Low Var, 33.58411098399712, 0.2
010, High Var, 46.699373845806996, 0.55
011, IOWA, 47.1931327901584, 0.7666666666666667
011, Equal Means, 37.31694697863715, 0.6
011, Low Var, 45.74052341266335, 0.9833333333333333
011, High Var, 50.117370031942045, 0.9833333333333333
012, IOWA, 58.17747585612986, 0.9333333333333333
012, Equal Means, 34.42632377673519, 0.4166666666666667
012, Low Var, 27.922092163517245, 0.6166666666666667
012, High Var, 46.81357222205888, 0.6
013, IOWA, 75.06482812722187, 0.85
013, Equal Means, 41.766333828093856, 0.45
013, Low Var, 36.95383618072511, 0.5166666666666667
013, High Var, 53.545423278375395, 0.8666666666666667
014, IOWA, 45.12584513673301, 0.8
014, Equal Means, 27.497333780432573, 0.4166666666666667
014, Low Var, 22.045570062721108, 0.5666666666666667
014, High Var, 33.80708610929959, 0.8333333333333334
015, IOWA, 73.06864671024455, 1.0
015, Equal Means, 62.64170671032029, 0.16666666666666666
015, Low Var, 55.53584722356507, 0.6666666666666666
015, High Var, 18.27929485006869, 0.18333333333333332
