Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices ,
1, IOWA,0,69.99994747,0, 
1, IOWA,2,165.3375495,1, 
1, IOWA,4,216.5242402,1, 
1, IOWA,6,273.0963341,2, 
1, IOWA,8,320.6727443,4, 
1, IOWA,10,358.2301117,6, 
1, IOWA,12,409.900914,8, 
1, IOWA,14,456.5231583,10, 
1, IOWA,16,506.3114211,12, 
1, IOWA,18,530.7619945,14, 
1, IOWA,20,560.1277141,16, 
1, IOWA,0,50.35157626,0, 
1, IOWA,2,130.4656465,2, 
1, IOWA,4,224.5070145,4, 
1, IOWA,6,302.1354988,4, 
1, IOWA,8,361.4805798,4, 
1, IOWA,10,419.4374402,6, 
1, IOWA,12,479.1251196,8, 
1, IOWA,14,535.6003674,10, 
1, IOWA,16,592.3783203,12, 
1, IOWA,18,650.8315931,14, 
1, IOWA,20,717.1176848,15, 
1, High Var,0,58.94376365,0, 
1, High Var,2,176.8624739,1, 
1, High Var,4,251.2818916,2, 
1, High Var,6,351.8887771,4, 
1, High Var,8,420.2637389,5, 
1, High Var,10,494.0233049,6, 
1, High Var,12,591.7279517,7, 
1, High Var,14,660.0546644,8, 
1, High Var,16,707.9743025,10, 
1, High Var,18,777.6114393,12, 
1, High Var,20,834.7078483,14, 
1, Equal Means,0,45.06544873,0, 
1, Equal Means,2,127.9854695,2, 
1, Equal Means,4,201.7984106,3, 
1, Equal Means,6,281.7992097,5, 
1, Equal Means,8,350.6207552,6, 
1, Equal Means,10,424.6079719,8, 
1, Equal Means,12,492.1006241,9, 
1, Equal Means,14,562.1258002,11, 
1, Equal Means,16,635.5808425,12, 
1, Equal Means,18,708.7931071,12, 
1, Equal Means,20,768.9373056,12, 
1, IOWA,0,33.12745813,0, 
1, IOWA,2,87.5869118,2, 
1, IOWA,4,135.2284371,4, 
1, IOWA,6,201.3945746,6, 
1, IOWA,8,251.9060791,8, 
1, IOWA,10,312.1082208,10, 
1, IOWA,12,368.334932,12, 
1, IOWA,14,427.6148941,14, 
1, IOWA,16,488.6942184,16, 
1, IOWA,18,546.433443,17, 
1, IOWA,20,594.0891474,19, 
1, High Var,0,27.9169339,0, 
1, High Var,2,90.35313053,2, 
1, High Var,4,140.1226892,4, 
1, High Var,6,214.3610648,6, 
1, High Var,8,314.5802023,6, 
1, High Var,10,380.5582529,7, 
1, High Var,12,440.715909,9, 
1, High Var,14,508.9508208,11, 
1, High Var,16,583.8810504,12, 
1, High Var,18,690.8695252,14, 
1, High Var,20,765.8962224,15, 
1, Low Var,0,46.40131932,0, 
1, Low Var,2,122.0930974,1, 
1, Low Var,4,197.1701867,3, 
1, Low Var,6,266.7503804,4, 
1, Low Var,8,350.3522966,5, 
1, Low Var,10,435.5789169,6, 
1, Low Var,12,509.4907665,7, 
1, Low Var,14,574.9369367,8, 
1, Low Var,16,637.7209425,10, 
1, Low Var,18,693.7718298,12, 
1, Low Var,20,751.0886459,14, 
1, Equal Means,0,35.85278896,0, 
