Roll Number, PayOff Condition, Avg Penalty, Repeat Choices
1, IOWA,44.57604764,0.816666667
1, Equal Means,26.38453264,0.333333333
1, Low Var,22.02251597,0.4
1, High Var,37.57079931,0.75
2, IOWA,39.97429314,0.716666667
2, Equal Means,22.57084316,0.366666667
2, Low Var,22.04710591,0.25
2, High Var,31.07975294,0.516666667
3, IOWA,32.52637028,0.483333333
3, Equal Means,40.65349544,0.416666667
3, Low Var,20.27053682,0.5
3, High Var,33.7631177,0.566666667
4, IOWA,62.94092592,0.883333333
4, Equal Means,36.26665952,0.383333333
4, Low Var,32.79343179,0.55
4, High Var,50.58057714,0.683333333
200550, IOWA,47.72608332,0.516666667
200550, Equal Means,34.40079225,0.45
200550, Low Var,46.42290361,0.883333333
200550, High Var,50.57565349,0.766666667
006, IOWA, 64.91101170121816, 1.1
006, Equal Means, 39.172169505464744, 0.5166666666666667
006, Low Var, 37.97946861211302, 0.5833333333333334
006, High Var, 56.68851657485858, 0.6833333333333333
007, IOWA, 74.83500965285015, 0.75
007, Equal Means, 40.02711126304046, 0.36666666666666664
007, Low Var, 56.78250143492949, 0.5
007, High Var, 39.58587629533076, 0.26666666666666666
008, IOWA, 47.69961932526678, 1.1
008, Equal Means, 28.880315956765227, 0.31666666666666665
008, Low Var, 39.73428265708995, 0.7666666666666667
008, High Var, 30.780934374058834, 0.4
009, IOWA, 53.624997985258396, 0.48333333333333334
009, Equal Means, 41.68911998036042, 0.25
009, Low Var, 58.64018639065182, 0.5833333333333334
009, High Var, 58.74219395178023, 0.36666666666666664
010, IOWA, 64.01776335975407, 0.5
010, Equal Means, 34.75656636496402, 0.1
010, Low Var, 30.5659818019342, 0.4166666666666667
010, High Var, 52.26422636505469, 0.31666666666666665
011, IOWA, 65.38131790945602, 0.9333333333333333
011, Equal Means, 37.648211416464825, 0.4166666666666667
011, Low Var, 52.866769705839445, 0.7333333333333333
011, High Var, 35.30900499648855, 0.5333333333333333
012, IOWA, 56.70988361898118, 0.9166666666666666
012, Equal Means, 50.33992442979987, 0.4
012, Low Var, 12.84536148209587, 0.3333333333333333
012, High Var, 47.4501748284271, 0.65
013, IOWA, 73.87552385970928, 0.8
013, Equal Means, 42.22111688668348, 0.3333333333333333
013, Low Var, 56.8641763069457, 0.7166666666666667
013, High Var, 36.79708140336441, 0.4666666666666667
014, IOWA, 29.96783861052986, 0.7833333333333333
014, Equal Means, 37.98267759647256, 0.6
014, Low Var, 32.62577243944824, 0.6833333333333333
014, High Var, 24.42825751395379, 0.4166666666666667
015, IOWA, 55.159886484667744, 0.48333333333333334
015, Equal Means, 60.81905401111485, 0.38333333333333336
015, Low Var, 54.98234008876299, 0.5833333333333334
015, High Var, 38.73247272493629, 0.38333333333333336
