Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices
1, IOWA,0,30,0
1, IOWA,2,139,0
1, IOWA,4,194,0
1, IOWA,6,239,1
1, IOWA,8,292,3
1, IOWA,10,369,5
1, IOWA,12,426,6
1, IOWA,14,471,7
1, IOWA,16,538,9
1, IOWA,18,603,11
1, IOWA,20,670,12
1, IOWA,0,18,0
1, IOWA,2,73,0
1, IOWA,4,150,0
1, IOWA,6,225,0
1, IOWA,8,274,2
1, IOWA,10,324,4
1, IOWA,12,378,6
1, IOWA,14,444,6
1, IOWA,16,523,6
1, IOWA,18,577,8
1, IOWA,20,651,9
1, Low Var,0,35,0
1, Low Var,2,90,1
1, Low Var,4,158,2
1, Low Var,6,225,2
1, Low Var,8,310,2
1, Low Var,10,386,2
1, Low Var,12,452,2
1, Low Var,14,500,4
1, Low Var,16,557,6
1, Low Var,18,613,8
1, Low Var,20,680,9
1, High Var,0,39,0
1, High Var,2,130,1
1, High Var,4,202,2
1, High Var,6,304,3
1, High Var,8,380,4
1, High Var,10,434,6
1, High Var,12,504,8
1, High Var,14,582,9
1, High Var,16,639,10
1, High Var,18,727,10
1, High Var,20,795,10
1, IOWA,0,28,0
1, IOWA,2,88,2
1, IOWA,4,164,2
1, IOWA,6,224,4
1, IOWA,8,302,4
1, IOWA,10,356,6
1, IOWA,12,430,6
1, IOWA,14,493,8
1, IOWA,16,573,8
1, IOWA,18,626,10
1, IOWA,20,696,10
1, Low Var,0,30,0
1, Low Var,2,78,2
1, Low Var,4,137,4
1, Low Var,6,192,6
1, Low Var,8,250,8
1, Low Var,10,336,8
1, Low Var,12,411,8
1, Low Var,14,458,10
1, Low Var,16,510,12
1, Low Var,18,569,14
1, Low Var,20,642,15
1, Equal Means,0,26,0
1, Equal Means,2,119,0
1, Equal Means,4,197,1
1, Equal Means,6,276,1
1, Equal Means,8,352,2
1, Equal Means,10,431,4
1, Equal Means,12,502,4
1, Equal Means,14,575,4
1, Equal Means,16,646,5
1, Equal Means,18,733,6
1, Equal Means,20,811,7
1, Equal Means,0,47,0
1, Equal Means,2,125,1
1, Equal Means,4,196,3
1, Equal Means,6,274,4
1, Equal Means,8,325,6
1, Equal Means,10,391,8
1, Equal Means,12,482,9
1, Equal Means,14,541,11
1, Equal Means,16,616,11
1, Equal Means,18,698,11
1, Equal Means,20,773,13
1, IOWA,0,44,0
1, IOWA,2,104,0
1, IOWA,4,158,2
1, IOWA,6,226,4
1, IOWA,8,282,6
1, IOWA,10,333,8
