newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.782300800085068,15.782300800085068,space,0.41904509998857975,,,,,,,,,,,,,,,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
0,0,0,0,0,0,0,0,,,,,,,,,16.22496040002443,16.22496040002443,space,1.8341469001024961,,,,,,,,,,,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
0,0,0,0,,,,,,,,,,,,,,,,,18.08619869989343,18.08619869989343,18.08619869989343,18.08619869989343,18.08619869989343,q,0.42425079992972314,18.524387100012973,18.539063799893484,,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
1,0,1,0,,,,,,,,,,,,,,,,,18.937349200015888,18.937349200015888,18.937349200015888,18.937349200015888,18.937349200015888,w,0.28324060002341866,19.231550799915567,19.247438000049442,,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
2,0,2,0,,,,,,,,,,,,,,,,,19.646489900071174,19.646489900071174,19.646489900071174,19.646489900071174,19.646489900071174,o,0.1729403999634087,19.826828199904412,19.837586299981922,19.837586299981922,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
3,0,3,0,,,,,,,,,,,,,,,,,20.244173199869692,20.244173199869692,20.244173199869692,20.244173199869692,20.244173199869692,o,0.17233550013042986,20.42100269999355,20.434910400072113,20.434910400072113,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
4,0,4,0,,,,,,,,,,,,,,,,,20.840833199908957,20.840833199908957,20.840833199908957,20.840833199908957,20.840833199908957,w,0.14585199998691678,20.99180019996129,21.00461470009759,21.00461470009759,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
5,0,5,0,,,,,,,,,,,,,,,,,21.410506299929693,21.410506299929693,21.410506299929693,21.410506299929693,21.410506299929693,w,0.1340421000495553,21.553771500010043,21.566906000021845,21.566906000021845,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
6,0,6,0,,,,,,,,,,,,,,,,,21.972683900035918,21.972683900035918,21.972683900035918,21.972683900035918,21.972683900035918,q,0.14775780006311834,22.129417299991474,22.14331559999846,22.14331559999846,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
7,0,7,0,,,,,,,,,,,,,,,,,22.54893229994923,22.54893229994923,22.54893229994923,22.54893229994923,22.54893229994923,q,0.16759550012648106,22.72666410007514,22.740466499933973,22.740466499933973,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
8,0,8,0,,,,,,,,,,,,,,,,,23.14582209987566,23.14582209987566,23.14582209987566,23.14582209987566,23.14582209987566,p,0.11292960005812347,23.27152740000747,23.282170899910852,23.282170899910852,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
9,0,9,0,,,,,,,,,,,,,,,,,23.687723400071263,23.687723400071263,23.687723400071263,23.687723400071263,23.687723400071263,w,0.11639440013095737,23.809960199985653,23.823780999984592,23.823780999984592,,,,,,,,,ww,xx,2023-04-13_23h27.28.643,bandit task,2022.2.5,143.67609649673227,
