newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.909724599914625,20.909724599914625,space,1.1827419002074748,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
0,0,0,0,0,0,0,0,,,,,,,,,22.129006000002846,22.129006000002846,space,1.6223718000110239,,,,,,,,,,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
0,0,0,0,,,,,,,,,,,,,,,,,23.790163399884477,23.790163399884477,23.790163399884477,23.790163399884477,23.790163399884477,q,0.5827218999620527,24.393761500017717,24.40308259986341,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
1,0,1,0,,,,,,,,,,,,,,,,,24.80654209991917,24.80654209991917,24.80654209991917,24.80654209991917,24.80654209991917,w,0.131701200036332,24.955499300034717,24.964627800043672,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
2,0,2,0,,,,,,,,,,,,,,,,,25.369226600043476,25.369226600043476,25.369226600043476,25.369226600043476,25.369226600043476,o,0.14813270000740886,25.533043599920347,25.549956399947405,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
3,0,3,0,,,,,,,,,,,,,,,,,25.946088999975473,25.946088999975473,25.946088999975473,25.946088999975473,25.946088999975473,p,0.12551059992983937,26.086250299820676,26.09532510000281,26.09532510000281,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
4,0,4,0,,,,,,,,,,,,,,,,,26.5007295999676,26.5007295999676,26.5007295999676,26.5007295999676,26.5007295999676,q,0.1576038000639528,26.66568350000307,26.678526900010183,26.678526900010183,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
5,0,5,0,,,,,,,,,,,,,,,,,27.084619999863207,27.084619999863207,27.084619999863207,27.084619999863207,27.084619999863207,o,0.1433997000567615,27.236143899848685,27.248254799982533,27.248254799982533,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
6,0,6,0,,,,,,,,,,,,,,,,,27.653651600005105,27.653651600005105,27.653651600005105,27.653651600005105,27.653651600005105,o,0.1206328000407666,27.783928799908608,27.796678100014105,27.796678100014105,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
7,0,7,0,,,,,,,,,,,,,,,,,28.202517800033092,28.202517800033092,28.202517800033092,28.202517800033092,28.202517800033092,w,0.10622850013896823,28.32012449996546,28.331585499923676,28.331585499923676,28.737066499888897,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
