newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,18.93328479999036,18.93328479999036,space,0.32799879999947734,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
0,0,0,0,0,0,0,0,,,,,,,,,19.315737400000216,19.315737400000216,space,3.1541997000022093,,,,,,,,,,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
0,0,0,0,,,,,,,,,,,,,,,,,22.596501799998805,22.596501799998805,22.596501799998805,22.596501799998805,22.596501799998805,q,0.9069457000005059,23.547346299994388,23.660298000002513,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
1,0,1,0,,,,,,,,,,,,,,,,,24.047477200001595,24.047477200001595,24.047477200001595,24.047477200001595,24.047477200001595,w,1.0524820999999065,25.14467500000319,25.260250899998937,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
2,0,2,0,,,,,,,,,,,,,,,,,25.64525039998989,25.64525039998989,25.64525039998989,25.64525039998989,25.64525039998989,q,0.6466074000054505,26.310811199989985,26.42596429999685,26.42596429999685,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
3,0,3,0,,,,,,,,,,,,,,,,,26.843637199999648,26.843637199999648,26.843637199999648,26.843637199999648,26.843637199999648,o,1.1892030000017257,28.076463699995656,28.191709299993818,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
4,0,4,0,,,,,,,,,,,,,,,,,28.578351299991482,28.578351299991482,28.578351299991482,28.578351299991482,28.578351299991482,o,0.6809719000011683,29.290967599998112,29.407684199992218,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
5,0,5,0,,,,,,,,,,,,,,,,,29.808948299993062,29.808948299993062,29.808948299993062,29.808948299993062,29.808948299993062,o,0.3951163999881828,30.240692799998214,30.357313599990448,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
6,0,6,0,,,,,,,,,,,,,,,,,30.758265600001323,30.758265600001323,30.758265600001323,30.758265600001323,30.758265600001323,o,0.30889670000760816,31.106665599989356,31.22347009999794,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
7,0,7,0,,,,,,,,,,,,,,,,,31.624654100000043,31.624654100000043,31.624654100000043,31.624654100000043,31.624654100000043,o,0.2890103999961866,31.95636559999548,32.073038399990764,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
8,0,8,0,,,,,,,,,,,,,,,,,32.474171699999715,32.474171699999715,32.474171699999715,32.474171699999715,32.474171699999715,o,0.27444870000181254,32.78942139999708,32.905950100001064,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
9,0,9,0,,,,,0,0,0,0,,,,,,,,,33.30696839999291,33.30696839999291,33.30696839999291,33.30696839999291,33.30696839999291,o,0.24989340000320226,33.58893509999325,33.705444699997315,,34.105352799990214,34.105352799990214,34.105352799990214,5582873 ,space,4.837493700004416,38.98640229999728,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
10,0,10,0,0,0,0,0,,,,,,,,,39.402689599999576,39.402689599999576,space,4.502405000006547,,,,,,,,,,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
10,0,10,0,,,,,,,,,,,,,,,,,43.93564339999284,43.93564339999284,43.93564339999284,43.93564339999284,43.93564339999284,q,1.269528500008164,45.234954200001084,45.34948099999747,45.34948099999747,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
11,0,11,0,,,,,,,,,,,,,,,,,45.76738530000148,45.76738530000148,45.76738530000148,45.76738530000148,45.76738530000148,w,0.3316925999970408,46.116525999997975,46.23250869999174,46.23250869999174,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
12,0,12,0,,,,,,,,,,,,,,,,,46.65011139999842,46.65011139999842,46.65011139999842,46.65011139999842,46.65011139999842,q,0.4198906000092393,47.11541699999361,47.21630569999979,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
13,0,13,0,,,,,,,,,,,,,,,,,47.63319569999294,47.63319569999294,47.63319569999294,47.63319569999294,47.63319569999294,q,0.3189533999975538,47.98184079999919,48.09813220000069,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
14,0,14,0,,,,,,,,,,,,,,,,,48.49920259999635,48.49920259999635,48.49920259999635,48.49920259999635,48.49920259999635,q,0.2823750000097789,48.8144398000004,48.931053199994494,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
15,0,15,0,,,,,,,,,,,,,,,,,49.33259599999292,49.33259599999292,49.33259599999292,49.33259599999292,49.33259599999292,q,0.23411720000149217,49.59739819999959,49.714309799994226,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
16,0,16,0,,,,,,,,,,,,,,,,,50.115228199996636,50.115228199996636,50.115228199996636,50.115228199996636,50.115228199996636,q,0.20936770000844263,50.36321609999868,50.46572539999033,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
17,0,17,0,,,,,,,,,,,,,,,,,50.86553329999151,50.86553329999151,50.86553329999151,50.86553329999151,50.86553329999151,q,0.28791300000739284,51.196427699993365,51.3131171999994,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
18,0,18,0,,,,,,,,,,,,,,,,,51.699686099993414,51.699686099993414,51.699686099993414,51.699686099993414,51.699686099993414,q,0.225224400011939,51.96268019999843,52.07932599999185,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,52.46598249999806,52.46598249999806,52.46598249999806,52.46598249999806,52.46598249999806,q,0.20439030000125058,52.711592399995425,52.82897299999604,,53.22960809999495,53.22960809999495,53.22960809999495,40,space,2.929027499994845,56.194073599996045,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-11_17h23.37.319,bandit task,2022.2.5,60.02844147899915,
,,,,,,,,,,,,,,,,,,,,56.59723469999153,56.59723469999153,56.59723469999153,56.59723469999153,56.59723469999153,q,1.0849228000151925,57.71204790000047,57.826489599989145,57.826489599989145,,,,,,,,,,,,,,
