Roll Number, Payoff Condition, Trial Number, Total Reward, Repeat Choices
1, IOWA,0,24.07460151,0
1, IOWA,2,72.1940399,0
1, IOWA,4,150.9701919,0
1, IOWA,6,236.1886353,0
1, IOWA,8,273.9027158,0
1, IOWA,10,341.8202879,0
1, IOWA,12,421.3529909,1
1, IOWA,14,494.2904209,3
1, IOWA,16,591.0200283,4
1, IOWA,18,671.4436019,6
1, Low Var,0,37.30311187,0
1, Low Var,2,108.5446187,0
1, Low Var,4,152.400379,0
1, Low Var,6,203.6576613,1
1, Low Var,8,289.2043063,1
1, Low Var,10,376.9988828,3
1, Low Var,12,451.9443633,5
1, Low Var,14,525.8779097,7
1, Low Var,16,600.1150441,8
1, Low Var,18,661.8922485,9
1, Equal Means,0,16.61933055,0
1, Equal Means,2,103.314181,0
1, Equal Means,4,184.5577815,0
1, Equal Means,6,248.0662487,1
1, Equal Means,8,322.6488212,1
1, Equal Means,10,390.8968808,1
1, Equal Means,12,483.0534194,3
1, Equal Means,14,558.1051989,5
1, Equal Means,16,625.5387155,6
1, Equal Means,18,702.9139854,8
1, IOWA,0,28.51477063,0
1, IOWA,2,74.4823656,0
1, IOWA,4,137.8650083,0
1, IOWA,6,217.8661773,2
1, IOWA,8,302.4451454,4
1, IOWA,10,375.6371677,6
1, IOWA,12,453.4774005,8
1, IOWA,14,541.0790682,10
1, IOWA,16,624.0446247,12
1, IOWA,18,710.5209976,14
1, Low Var,0,18.96879943,0
1, Low Var,2,75.90942982,0
1, Low Var,4,154.0247618,1
1, Low Var,6,247.3096164,3
1, Low Var,8,312.3225873,5
1, Low Var,10,378.9545288,7
1, Low Var,12,451.7507725,8
1, Low Var,14,536.7016462,9
1, Low Var,16,615.6190508,11
1, Low Var,18,665.736075,11
1, IOWA,0,44.22783727,0
1, IOWA,2,85.23590305,0
1, IOWA,4,159.7280416,0
1, IOWA,6,238.3302915,2
1, IOWA,8,311.1570098,2
1, IOWA,10,392.5291324,4
1, IOWA,12,474.89978,6
1, IOWA,14,556.7776597,7
1, IOWA,16,639.3381402,9
1, IOWA,18,728.6760425,10
1, IOWA,0,21.56443294,0
1, IOWA,2,117.0559481,0
1, IOWA,4,176.3792783,0
1, IOWA,6,263.2173093,0
1, IOWA,8,367.3808263,0
1, IOWA,10,445.9420302,0
1, IOWA,12,518.8876561,0
1, IOWA,14,600.7617942,0
1, IOWA,16,681.1154149,0
1, IOWA,18,756.3655775,0
1, Low Var,0,22.64320066,0
1, Low Var,2,115.4700873,0
1, Low Var,4,169.6359627,0
1, Low Var,6,242.3837784,0
1, Low Var,8,316.6538082,0
1, Low Var,10,397.7161574,1
1, Low Var,12,481.7182769,3
1, Low Var,14,588.3130547,4
1, Low Var,16,690.7651625,6
1, Low Var,18,766.3108544,7
1, High Var,0,42.90131509,0
1, High Var,2,84.56307739,0
1, High Var,4,177.2432241,0
1, High Var,6,287.0776871,0
1, High Var,8,354.945983,2
1, High Var,10,440.7493395,3
1, High Var,12,525.8989378,5
1, High Var,14,602.2338771,7
1, High Var,16,708.7295925,8
1, High Var,18,794.9833841,10
1, Equal Means,0,21.6280107,0
1, Equal Means,2,91.6243353,0
1, Equal Means,4,146.5436451,0
1, Equal Means,6,224.5769943,2
1, Equal Means,8,300.6664177,4
1, Equal Means,10,399.4512416,5
1, Equal Means,12,452.2745136,7
1, Equal Means,14,533.510931,8
1, Equal Means,16,612.9908651,10
1, Equal Means,18,709.9487041,11
1, High Var,0,38.84506726,0
1, High Var,2,66.31750947,0
1, High Var,4,132.8786059,0
1, High Var,6,209.1494116,1
1, High Var,8,289.1300851,3
1, High Var,10,364.000058,5
1, High Var,12,437.6336373,5
1, High Var,14,491.0513994,5
1, High Var,16,576.2810421,7
1, High Var,18,654.6860885,9
1, Equal Means,0,33.00437342,0
1, Equal Means,2,86.04347307,0
1, Equal Means,4,167.7160483,0
1, Equal Means,6,226.7809907,0
1, Equal Means,8,280.4772684,0
1, Equal Means,10,353.7804789,0
1, Equal Means,12,422.6663789,0
1, Equal Means,14,498.9441663,0
1, Equal Means,16,582.2498883,1
1, Equal Means,18,655.3798532,3
2, IOWA,0,50.97584167,0
2, IOWA,2,144.4040783,0
2, IOWA,4,251.4984349,0
2, IOWA,6,330.3486745,0
2, IOWA,8,438.5138164,2
2, IOWA,10,532.7686766,2
2, IOWA,12,656.6940122,2
2, IOWA,14,765.2403829,3
2, IOWA,16,853.37653,3
2, IOWA,18,930.2824952,4
2, IOWA,0,36.59981029,0
2, IOWA,2,158.381983,1
2, IOWA,4,267.4132808,3
2, IOWA,6,370.8837753,5
2, IOWA,8,477.0857802,7
2, IOWA,10,591.8966754,9
2, IOWA,12,700.9568146,11
2, IOWA,14,820.6801001,13
2, IOWA,16,920.7020676,14
2, IOWA,18,1046.712914,15
2, Low Var,0,57.46654893,0
2, Low Var,2,146.1358301,0
2, Low Var,4,250.5966246,1
2, Low Var,6,353.5373028,2
2, Low Var,8,465.5560692,3
2, Low Var,10,584.8590894,4
2, Low Var,12,682.750717,5
2, Low Var,14,778.6260829,5
2, Low Var,16,880.1411522,5
2, Low Var,18,1000.493556,5
2, High Var,0,34.38718359,0
2, High Var,2,155.4266642,0
2, High Var,4,246.868914,0
2, High Var,6,325.9608315,1
2, High Var,8,403.9237555,1
2, High Var,10,498.2942206,1
2, High Var,12,608.73706,3
2, High Var,14,716.9544646,5
2, High Var,16,835.1934396,7
2, High Var,18,946.9293877,9
