utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,smly.started,text_3.started,smly.stopped,text_3.stopped,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,sadl.started,sadl.stopped,smlyl.started,text_2.started,smlyl.stopped,text_2.stopped,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,23.823876700131223,23.823876700131223,space,0.5187840999569744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
0,0,0,0,,,,,,,,,,,,,,,,,24.37940190010704,24.37940190010704,24.37940190010704,24.37940190010704,24.37940190010704,q,0.6062230998650193,24.99880679999478,24.99880679999478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
1,0,1,0,,,,,,,,,,,,,,,,,25.405473800143227,25.405473800143227,25.405473800143227,25.405473800143227,25.405473800143227,o,0.27890289993956685,25.697989700129256,25.697989700129256,26.10042710020207,26.10042710020207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
2,0,2,0,,,,,,,,,,,,,,,,,26.10042710020207,26.10042710020207,26.10042710020207,26.10042710020207,26.10042710020207,p,0.25648849993012846,26.363381900126114,26.363381900126114,26.76650740019977,26.76650740019977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
3,0,3,0,,,,,,,,,,,,,,,,,26.76650740019977,26.76650740019977,26.76650740019977,26.76650740019977,26.76650740019977,q,0.2526645998004824,27.029921000124887,27.029921000124887,27.433235100004822,27.433235100004822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
4,0,4,0,,,,,,,,,,,,,,,,,27.433235100004822,27.433235100004822,27.433235100004822,27.433235100004822,27.433235100004822,q,0.22711909981444478,27.668434100225568,27.668434100225568,28.071925200056285,28.071925200056285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
5,0,5,0,,,,,,,,,,,,,,,,,28.071925200056285,28.071925200056285,28.071925200056285,28.071925200056285,28.071925200056285,q,0.2549091998953372,28.33680780022405,28.33680780022405,28.73878480005078,28.73878480005078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
6,0,6,0,,,,,,,,,,,,,,,,,28.73878480005078,28.73878480005078,28.73878480005078,28.73878480005078,28.73878480005078,q,0.2636400999035686,29.00923530012369,29.00923530012369,29.41227940004319,29.41227940004319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
7,0,7,0,,,,,,,,,,,,,,,,,29.41227940004319,29.41227940004319,29.41227940004319,29.41227940004319,29.41227940004319,p,0.2358192999381572,29.654953200137243,29.654953200137243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
8,0,8,0,,,,,,,,,,,,,,,,,30.058217100100592,30.058217100100592,30.058217100100592,30.058217100100592,30.058217100100592,p,0.26369729987345636,30.327364900149405,30.327364900149405,30.731669100001454,30.731669100001454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
9,0,9,0,,,,,,,,,,,,,,,,,30.731669100001454,30.731669100001454,30.731669100001454,30.731669100001454,30.731669100001454,p,0.20616539986804128,30.946046200115234,30.946046200115234,31.34964880021289,31.34964880021289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
10,0,10,0,,,,,,,,,,,,,,,,,31.34964880021289,31.34964880021289,31.34964880021289,31.34964880021289,31.34964880021289,p,0.19256009976379573,31.549799300031736,31.549799300031736,31.953919700114056,31.953919700114056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
11,0,11,0,,,,,,,,,,,,,,,,,31.953919700114056,31.953919700114056,31.953919700114056,31.953919700114056,31.953919700114056,q,0.22329630004242063,32.18934850022197,32.18934850022197,32.5926911002025,32.5926911002025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
12,0,12,0,,,,,,,,,,,,,,,,,32.5926911002025,32.5926911002025,32.5926911002025,32.5926911002025,32.5926911002025,q,0.15939909988082945,32.75870300014503,32.75870300014503,33.162176500074565,33.162176500074565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
13,0,13,0,,,,,,,,,,,,,,,,,33.162176500074565,33.162176500074565,33.162176500074565,33.162176500074565,33.162176500074565,q,0.2009962999727577,33.36908120010048,33.36908120010048,33.773527700221166,33.773527700221166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
14,0,14,0,,,,,,,,,,,,,,,,,33.773527700221166,33.773527700221166,33.773527700221166,33.773527700221166,33.773527700221166,q,0.15224679978564382,33.933705100091174,33.933705100091174,34.33603770006448,34.33603770006448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
15,0,15,0,,,,,,,,,,,,,,,,,34.33603770006448,34.33603770006448,34.33603770006448,34.33603770006448,34.33603770006448,p,0.14787649968639016,34.49378860020079,34.49378860020079,34.898354900069535,34.898354900069535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121dsfdsf,dsfsd,2023-04-12_21h16.23.720,bandit task,2022.2.5,143.85032662461768,
