Roll Number, Payoff Condition, Avg Reward, Repeat Choices
1, IOWA,65.94214779,1.166666667
1, Equal Means,24.95247687,0.5
1, Low Var,29.22275205,0.533333333
1, High Var,39.1225871,0.783333333
2, IOWA,76.43541441,1.016666667
2, Equal Means,52.12539521,0.616666667
2, Low Var,18.0796832,0.216666667
2, High Var,52.27112917,0.566666667
3, IOWA,52.39452362,0.916666667
3, Equal Means,30.31484063,0.4
3, Low Var,25.30462931,0.366666667
3, High Var,25.73858297,0.35
4, IOWA,90.18581387,1.133333333
4, Equal Means,59.63467581,0.65
4, Low Var,67.56466986,0.833333333
4, High Var,21.70669151,0.266666667
200550, IOWA,68.02990878,0.733333333
200550, Equal Means,59.70822679,0.633333333
200550, Low Var,65.70589638,0.783333333
200550, High Var,40.53826672,0.55
006, IOWA, 49.80619414470578, 0.7666666666666667
006, Equal Means, 45.25591642274126, 0.55
006, Low Var, 51.50251658829308, 0.85
006, High Var, 31.3742739175649, 0.5166666666666667
007, IOWA, 54.64256474789932, 0.5333333333333333
007, Equal Means, 38.97354803035605, 0.5833333333333334
007, Low Var, 27.35063233541663, 0.4
007, High Var, 26.723935356984942, 0.38333333333333336
008, IOWA, 68.72782908812479, 1.0
008, Equal Means, 43.73417588719771, 0.7
008, Low Var, 33.742906022743, 0.5833333333333334
008, High Var, 33.83753323648968, 0.2833333333333333
009, IOWA, 64.79434073722248, 0.6166666666666667
009, Equal Means, 36.99595834458138, 0.4166666666666667
009, Low Var, 60.37932615897982, 0.5166666666666667
009, High Var, 58.730696753955804, 0.48333333333333334
010, IOWA, 54.66770447129506, 0.9333333333333333
010, Equal Means, 35.28733590427547, 0.45
010, Low Var, 29.796341546696492, 0.6
010, High Var, 26.643891071766006, 0.45
011, IOWA, 60.70049522574935, 1.1166666666666667
011, Equal Means, 25.292280358054896, 0.4166666666666667
011, Low Var, 43.92997720188028, 0.8833333333333333
011, High Var, 29.14940163251752, 0.4
012, IOWA, 66.114708905225, 0.4166666666666667
012, Equal Means, 40.75414845730629, 0.25
012, Low Var, 67.4441888866115, 0.7333333333333333
012, High Var, 65.12400110893974, 0.6166666666666667
013, IOWA, 63.97638771809832, 0.6833333333333333
013, Equal Means, 60.434260702023025, 0.6166666666666667
013, Low Var, 42.931391918215134, 0.48333333333333334
013, High Var, 63.386380908599236, 0.7333333333333333
014, IOWA, 72.38224554020195, 0.8166666666666667
014, Equal Means, 32.41680048288501, 0.4166666666666667
014, Low Var, 51.214119911929934, 0.7833333333333333
014, High Var, 35.33518492636845, 0.5
015, IOWA, 55.26601904184579, 0.5666666666666667
015, Equal Means, 48.38765397836107, 0.3
015, Low Var, 33.962377780074895, 0.06666666666666667
015, High Var, 52.75941480071719, 0.4166666666666667
