Roll Number, Payoff Condition, Trial Count, Total Reward, Repeat Choices
1, IOWA,0,26.58382168,0
1, IOWA,2,113.2736969,0
1, IOWA,4,207.0972664,0
1, IOWA,6,287.0963267,2
1, IOWA,8,360.0316355,3
1, IOWA,10,429.259581,3
1, IOWA,12,546.7229214,3
1, IOWA,14,641.2618336,5
1, IOWA,16,732.5369484,5
1, IOWA,18,819.390675,5
1, IOWA,20,912.5130143,5
1, IOWA,0,8.236428064,0
1, IOWA,2,109.6851259,1
1, IOWA,4,215.7996848,1
1, IOWA,6,301.4833781,1
1, IOWA,8,376.4359626,2
1, IOWA,10,465.5229639,2
1, IOWA,12,581.6992715,4
1, IOWA,14,680.9916296,6
1, IOWA,16,777.4852728,6
1, IOWA,18,805.4874257,6
1, IOWA,20,907.7196449,6
1, Equal Means,0,38.55842721,0
1, Equal Means,2,125.5261195,1
1, Equal Means,4,220.8747409,2
1, Equal Means,6,288.6453319,2
1, Equal Means,8,367.9560136,2
1, Equal Means,10,442.4817678,2
1, Equal Means,12,525.8841076,2
1, Equal Means,14,591.2245024,2
1, Equal Means,16,671.2540637,2
1, Equal Means,18,733.2690138,3
1, Equal Means,20,829.2251907,4
1, IOWA,0,29.50217914,0
1, IOWA,2,84.16204613,0
1, IOWA,4,196.9483338,0
1, IOWA,6,291.9677554,1
1, IOWA,8,385.1423075,1
1, IOWA,10,485.6762875,3
1, IOWA,12,572.1981258,4
1, IOWA,14,663.2244525,4
1, IOWA,16,773.4782803,4
1, IOWA,18,862.3401595,5
1, IOWA,20,935.2888839,6
1, Low Var,0,30.79933382,0
1, Low Var,2,107.0358634,0
1, Low Var,4,184.3162467,1
1, Low Var,6,259.5251665,2
1, Low Var,8,358.1109716,4
1, Low Var,10,458.2758111,6
1, Low Var,12,554.2755593,8
1, Low Var,14,643.1126097,10
1, Low Var,16,710.5716228,10
1, Low Var,18,794.3539621,10
1, Low Var,20,890.2297249,12
1, High Var,0,14.24386214,0
1, High Var,2,112.4973947,1
1, High Var,4,191.5245505,2
1, High Var,6,270.8528711,2
1, High Var,8,382.6428194,4
1, High Var,10,473.7135296,6
1, High Var,12,558.5234577,8
